Coral ID,Sample #,Distance from edge (mm),CAMS#,F14C,±F14C,D14C,±D14C
D621_1B,8,0.8,171029,1.0259,0.0035,25.9,3.5
D621_1B,13,1.3,182916,1.0247,0.0029,24.7,2.9
D621_1B,18,1.8,171030,1.0426,0.0033,42.6,3.3
D621_1B,24,2.4,182906,0.9012,0.0024,-98.8,2.4
D621_1B,28,2.8,171031,0.901,0.0031,-99,3.1
D621_1B,38,3.8,171032,0.9091,0.0032,-90.9,3.2
D621_1B,48,4.8,171033,0.9059,0.0035,-94.1,3.5
D639_1C,9,1.025,171034,1.0513,0.0039,51.3,3.9
D639_1C,18,1.95,182907,0.9069,0.0026,-93.1,2.6
D639_1C,21,2.325,173006,0.9126,0.0028,-87.4,2.8
D639_1C,33,3.55,173007,0.9048,0.0021,-95.2,2.1
D639_1C,45,4.75,173008,0.9008,0.0025,-99.2,2.5
D639_1C,57,5.95,173009,0.9012,0.0027,-98.8,2.7
