Coral ID,Sample #,d13C,d15N,Age Model
D621_1B,1.00,-17.48,15.07,2014
D621_1B,2.00,-17.46,15.01,2011.94
D621_1B,3.00,-17.17,15.04,2009.88
D621_1B,4.00,-17.01,14.77,2007.82
D621_1B,5.00,-17.16,14.82,2005.76
D621_1B,6.00,-17.77,15.03,2003.71
D621_1B,7.00,-17.08,14.63,2001.65
D621_1B,8.00,-17.15,14.66,1999.59
D621_1B,9.00,-17.11,14.49,1997.53
D621_1B,10.00,-17.17,14.59,1995.47
D621_1B,11.00,-17.69,14.86,1993.41
D621_1B,12.00,-17.3,14.66,1991.35
D621_1B,13.00,-17.62,14.68,1989.29
D621_1B,14.00,-17.57,14.81,1987.24
D621_1B,15.00,-17.83,14.58,1985.18
D621_1B,16.00,-17.64,14.63,1983.12
D621_1B,17.00,-17.78,14.68,1981.06
D621_1B,18.00,-17.86,15.11,1979
D621_1B,19.00,-17.2,14.62,1974.83
D621_1B,20.00,-17.16,15.3,1970.67
D621_1B,22.00,-17.24,15.57,1962.33
D621_1B,23.00,-17.27,15.33,1958.17
D621_1B,24.00,-17.24,14.96,1954
D621_1B,25.00,-17.21,15.12,1949.83
D621_1B,26.00,-17.24,15.17,1945.67
D621_1B,27.00,-17.5,14.48,1941.5
D621_1B,28.00,-17.05,15.02,1937.33
D621_1B,29.00,-17.05,15.2,1933.17
D621_1B,30.00,-17.1,15.2,1929
D621_1B,31.00,-17.09,15.12,1924.83
D621_1B,32.00,-17.12,15.28,1920.67
D621_1B,33.00,-17.13,15.15,1916.5
D621_1B,34.00,-16.92,15.4,1912.33
D621_1B,35.00,-16.98,15.26,1908.17
D621_1B,36.00,-17.01,15.26,1904
D621_1B,37.00,-17.03,15.11,1899.83
D621_1B,38.00,-17.28,15.05,1895.67
D621_1B,39.00,-17.17,15.36,1891.5
D621_1B,40.00,-17.05,15.25,1887.33
D621_1B,41.00,-17.3,15.32,1883.17
D621_1B,42.00,-17.35,15.08,1879
D621_1B,43.00,-17.36,15.05,1874.83
D621_1B,44.00,-17.3,14.98,1870.67
D621_1B,45.00,-17.34,15.14,1866.5
D621_1B,46.00,-17.29,14.96,1862.33
D621_1B,47.00,-17.32,14.97,1858.17
D621_1B,48.00,-17.29,15.31,1854
D621_1B,49.00,-17.21,15.16,1849.83
D621_1B,50.00,-17.22,15.19,1845.67
D621_1B,51.00,-16.8,15.31,1841.5
D621_1B,52.00,-16.9,15.27,1837.33
D621_1B,53.00,-17.82,15.15,1833.17
D621_1B,54.00,-17.71,15.39,1829
D621_1B,55.00,-17.48,15.49,1824.83
D621_1B,56.00,-17.35,15.57,1820.67
D621_1B,57.00,-16.94,15.42,1816.5
D621_1B,58.00,-17.09,15.69,1810.25
