Coral ID,Sample #,d13C,d15N,Age Model
D639_1C,1.00,-16.98,15.11,2010
D639_1C,2.00,-18.05,15.05,2007.08
D639_1C,3.00,-17.6,14.96,2004.16
D639_1C,4.00,-17.46,14.48,2001.24
D639_1C,5.00,-17.08,15.05,1996.86
D639_1C,6.00,-17.92,15.23,1993.22
D639_1C,7.00,-18.2,14.97,1989.57
D639_1C,8.00,-18.37,14.73,1986.65
D639_1C,9.00,-18.17,14.8,1983
D639_1C,10.00,-18.41,14.76,1980.19
D639_1C,11.00,-18.87,14.77,1977.38
D639_1C,12.00,-19.05,15.2,1974.57
D639_1C,13.00,-18.61,15.43,1971.76
D639_1C,14.00,-18.17,15.66,1968.95
D639_1C,15.00,-17.51,15.91,1966.14
D639_1C,16.00,-17.21,15.73,1963.32
D639_1C,17.00,-17.35,15.59,1960.51
D639_1C,18.00,-17.05,15.38,1957
D639_1C,19.00,-17.14,15.65,1953.49
D639_1C,20.00,-17.11,15.24,1949.97
D639_1C,21.00,-17.04,15.03,1946.46
D639_1C,22.00,-17.1,15.06,1942.95
D639_1C,23.00,-17.22,14.65,1940.14
D639_1C,24.00,-16.96,15,1937.32
D639_1C,25.00,-17.02,14.91,1934.51
D639_1C,26.00,-16.89,14.89,1931.7
D639_1C,27.00,-16.65,15.3,1928.89
D639_1C,28.00,-16.51,15.21,1926.08
D639_1C,29.00,-16.32,14.95,1923.27
D639_1C,30.00,-16.3,15.03,1920.46
D639_1C,31.00,-16.03,14.84,1917.65
D639_1C,32.00,-15.77,15.07,1914.84
D639_1C,33.00,-15.72,15.1,1912.03
D639_1C,34.00,-16.58,14.94,1909.22
D639_1C,35.00,-16.93,15.17,1906.41
D639_1C,36.00,-17.19,14.73,1903.59
D639_1C,37.00,-17.28,14.53,1900.78
D639_1C,38.00,-17.41,14.55,1897.97
D639_1C,39.00,-17.32,14.68,1895.16
D639_1C,40.00,-17.23,14.96,1892.35
D639_1C,41.00,-17.16,14.74,1889.54
D639_1C,42.00,-17.19,14.88,1886.73
D639_1C,43.00,-17.15,14.86,1883.92
D639_1C,44.00,-16.85,14.88,1881.11
D639_1C,45.00,-16.69,14.75,1878.3
D639_1C,46.00,-16.56,14.65,1875.49
D639_1C,47.00,-16.48,14.56,1872.68
D639_1C,49.00,-16.81,14.59,1867.05
D639_1C,50.00,-16.86,14.73,1864.24
D639_1C,51.00,-16.77,14.56,1861.43
D639_1C,52.00,-16.84,14.61,1858.62
D639_1C,53.00,-17.19,14.58,1855.81
D639_1C,54.00,-17.16,14.97,1853
D639_1C,55.00,-17.44,15.17,1850.19
D639_1C,56.00,-17.52,15.36,1847.38
D639_1C,57.00,-17.7,15.65,1844.57
D639_1C,58.00,-17.78,15.45,1841.76
D639_1C,59.00,-17.84,15.52,1838.95
D639_1C,60.00,-17.76,15.37,1836.14
D639_1C,61.00,-17.56,15.01,1833.32
D639_1C,62.00,-17.33,15.16,1830.51
D639_1C,63.00,-17.32,15.25,1827.7
D639_1C,64.00,-17.4,15.04,1824.89
D639_1C,65.00,-16.95,15.31,1822.08
