Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Average
1900.00,0.04,1.32,0.49,0.35,0.77,0.65,0.95,0.14,-0.24,0.23,-0.44,1.19,0.45
1901.00,0.79,-0.12,0.35,0.61,-0.42,-0.05,-0.60,-1.20,-0.33,0.16,-0.60,-0.14,-0.13
1902.00,0.82,1.58,0.48,1.37,1.09,0.52,1.58,1.57,0.44,0.70,0.16,-1.10,0.77
1903.00,0.86,-0.24,-0.22,-0.50,0.43,0.23,0.40,1.01,-0.24,0.18,0.08,-0.03,0.16
1904.00,0.63,-0.91,-0.71,-0.07,-0.22,-1.53,-1.58,-0.64,0.06,0.43,1.45,0.06,-0.25
1905.00,0.73,0.91,1.31,1.59,-0.07,0.69,0.85,1.26,-0.03,-0.15,1.11,-0.50,0.64
1906.00,0.92,1.18,0.83,0.74,0.44,1.24,0.09,-0.53,-0.31,0.08,1.69,-0.54,0.49
1907.00,-0.30,-0.32,-0.19,-0.16,0.16,0.57,0.63,-0.96,-0.23,0.84,0.66,0.72,0.12
1908.00,1.36,1.02,0.67,0.23,0.23,0.41,0.60,-1.04,-0.16,-0.41,0.47,1.16,0.38
1909.00,0.23,1.01,0.54,0.24,-0.39,-0.64,-0.39,-0.68,-0.89,-0.02,-0.40,-0.01,-0.12
1910.00,-0.25,-0.70,0.18,-0.37,-0.06,-0.28,0.03,-0.06,0.40,-0.66,0.02,0.84,-0.08
1911.00,-1.11,0.00,-0.78,-0.73,0.17,0.02,0.48,0.43,0.29,0.20,-0.86,0.01,-0.16
1912.00,-1.72,-0.23,-0.04,-0.38,-0.02,0.77,1.07,-0.84,0.94,0.56,0.74,0.98,0.15
1913.00,-0.03,0.34,0.06,-0.92,0.66,1.43,1.06,1.29,0.73,0.62,0.75,0.90,0.57
1914.00,0.34,-0.29,0.08,1.20,0.11,0.11,-0.21,0.11,-0.34,-0.11,0.03,0.89,0.16
1915.00,-0.41,0.14,-1.22,1.40,0.32,0.99,1.07,0.27,-0.05,-0.43,-0.12,0.17,0.18
1916.00,-0.64,-0.19,-0.11,0.35,0.42,-0.82,-0.78,-0.73,-0.77,-0.22,-0.68,-1.94,-0.51
1917.00,-0.79,-0.84,-0.71,-0.34,0.82,-0.03,0.10,-0.22,-0.40,-1.75,-0.34,-0.60,-0.43
1918.00,-1.13,-0.66,-1.15,-0.32,-0.33,0.07,0.98,-0.31,-0.59,0.61,0.34,0.86,-0.14
1919.00,-1.07,1.31,-0.50,0.08,0.17,-0.71,-0.47,0.38,0.06,-0.42,-0.80,0.76,-0.10
1920.00,-1.18,0.06,-0.78,-1.29,-0.97,-1.30,-0.90,-2.21,-1.28,-1.06,-0.26,0.29,-0.91
1921.00,-0.66,-0.61,-0.01,-0.93,-0.42,0.40,-0.58,-0.69,-0.78,-0.23,1.92,1.42,-0.10
1922.00,1.05,-0.85,0.08,0.43,-0.19,-1.04,-0.82,-0.93,-0.81,0.84,-0.60,0.48,-0.20
1923.00,0.75,-0.04,0.49,0.99,-0.20,0.68,1.16,0.84,-0.24,1.10,0.62,-0.36,0.48
1924.00,1.29,0.73,1.13,-0.02,0.36,0.75,-0.55,-0.67,-0.48,-1.25,0.24,0.11,0.14
1925.00,-0.05,-0.14,0.20,0.86,0.79,-1.08,-0.06,-0.86,0.52,0.04,0.88,1.19,0.19
1926.00,0.30,0.98,-0.50,2.10,1.43,2.03,1.05,1.64,1.18,1.65,1.00,1.06,1.16
1927.00,1.07,1.73,0.15,-0.18,0.30,0.69,-0.31,-0.73,-0.41,-0.62,-0.07,0.07,0.14
1928.00,0.96,0.79,0.52,0.81,0.66,0.15,0.30,-0.72,-1.41,-1.31,0.14,0.98,0.16
1929.00,0.97,0.52,0.50,0.55,1.07,0.50,-0.06,-0.69,0.45,-0.21,1.24,-0.03,0.40
1930.00,0.97,-1.06,-0.43,-0.70,0.06,0.58,-0.45,-0.53,-0.20,-0.38,-0.31,1.20,-0.10
1931.00,0.08,1.56,1.13,1.28,1.66,0.39,1.49,0.02,-0.01,-0.17,0.34,1.09,0.74
1932.00,-0.26,-0.58,0.51,1.15,0.64,0.10,-0.12,-0.14,-0.40,-0.29,-0.88,0.02,-0.02
1933.00,0.29,0.02,0.15,-0.05,-0.50,-0.68,-1.81,-1.56,-2.28,-1.19,0.55,-1.10,-0.68
1934.00,0.17,0.68,1.34,1.63,1.23,0.51,0.44,1.54,1.25,2.10,1.63,1.67,1.18
1935.00,1.01,0.79,-0.11,1.10,0.99,1.39,0.68,0.63,0.98,0.21,0.13,1.78,0.80
1936.00,1.79,1.75,1.36,1.32,1.83,2.37,2.57,1.71,0.04,2.10,2.65,1.28,1.73
1937.00,0.00,-0.49,0.38,0.20,0.53,1.75,0.11,-0.35,0.63,0.76,-0.18,0.55,0.32
1938.00,0.50,0.02,0.24,0.27,-0.25,-0.20,-0.21,-0.45,-0.01,0.07,0.48,1.40,0.16
1939.00,1.36,0.07,-0.39,0.45,0.98,1.04,-0.21,-0.74,-1.10,-1.31,-0.88,1.51,0.07
1940.00,2.03,1.74,1.89,2.37,2.32,2.43,2.12,1.40,1.10,1.19,0.68,1.96,1.77
1941.00,2.14,2.07,2.41,1.89,2.25,3.01,2.33,3.31,1.99,1.22,0.40,0.91,1.99
1942.00,1.01,0.79,0.29,0.79,0.84,1.19,0.12,0.44,0.68,0.54,-0.10,-1.00,0.47
1943.00,-0.18,0.02,0.26,1.08,0.43,0.68,-0.36,-0.90,-0.49,-0.04,0.29,0.58,0.11
1944.00,0.18,0.17,0.08,0.72,-0.35,-0.98,-0.40,-0.51,-0.56,-0.40,0.33,0.20,-0.13
1945.00,-1.02,0.72,-0.42,-0.40,-0.07,0.56,1.02,0.18,-0.27,0.10,-1.94,-0.74,-0.19
1946.00,-0.91,-0.32,-0.41,-0.78,0.50,-0.86,-0.84,-0.36,-0.22,-0.36,-1.48,-0.96,-0.58
1947.00,-0.73,-0.29,1.17,0.70,0.37,1.36,0.16,0.30,0.58,0.85,-0.14,1.67,0.50
1948.00,-0.11,-0.74,-0.03,-1.33,-0.23,0.08,-0.92,-1.56,-1.74,-1.32,-0.89,-1.70,-0.87
1949.00,-2.01,-3.60,-1.00,-0.53,-1.07,-0.70,-0.56,-1.30,-0.93,-1.41,-0.83,-0.80,-1.23
1950.00,-2.13,-2.91,-1.13,-1.20,-2.23,-1.77,-2.93,-0.70,-2.14,-1.36,-2.46,-0.76,-1.81
1951.00,-1.54,-1.06,-1.90,-0.36,-0.25,-1.09,0.70,-1.37,-0.08,-0.32,-0.28,-1.68,-0.77
1952.00,-2.01,-0.46,-0.63,-1.05,-1.00,-1.43,-1.25,-0.60,-0.89,-0.35,-0.76,0.04,-0.87
1953.00,-0.57,-0.07,-1.12,0.05,0.43,0.29,0.74,0.05,-0.63,-1.09,-0.03,0.07,-0.16
1954.00,-1.32,-1.61,-0.52,-1.33,0.01,0.97,0.43,0.08,-0.94,0.52,0.72,-0.50,-0.29
1955.00,0.20,-1.52,-1.26,-1.97,-1.21,-2.44,-2.35,-2.25,-1.95,-2.80,-3.08,-2.75,-1.95
1956.00,-2.48,-2.74,-2.56,-2.17,-1.41,-1.70,-1.03,-1.16,-0.71,-2.30,-2.11,-1.28,-1.80
