Coral ID,Sample #,C/N
D621_1B,1,2.88
D621_1B,2,2.95
D621_1B,3,2.95
D621_1B,4,2.87
D621_1B,5,2.99
D621_1B,6,2.89
D621_1B,7,2.85
D621_1B,8,2.88
D621_1B,9,2.96
D621_1B,10,2.84
D621_1B,11,3.22
D621_1B,12,2.90
D621_1B,13,2.87
D621_1B,14,2.85
D621_1B,15,2.89
D621_1B,16,2.91
D621_1B,17,2.86
D621_1B,18,2.97
D621_1B,19,2.92
D621_1B,20,2.84
D621_1B,22,2.88
D621_1B,23,2.85
D621_1B,24,2.86
D621_1B,25,2.90
D621_1B,26,2.93
D621_1B,27,2.97
D621_1B,28,2.91
D621_1B,29,2.87
D621_1B,30,2.87
D621_1B,31,2.89
D621_1B,32,2.90
D621_1B,33,2.95
D621_1B,34,2.86
D621_1B,35,2.92
D621_1B,36,2.96
D621_1B,37,3.00
D621_1B,38,3.05
D621_1B,39,2.95
D621_1B,40,2.87
D621_1B,41,2.95
D621_1B,42,2.93
D621_1B,43,2.87
D621_1B,44,2.84
D621_1B,45,2.85
D621_1B,46,2.89
D621_1B,47,2.88
D621_1B,48,2.90
D621_1B,49,2.95
D621_1B,50,2.99
D621_1B,51,3.05
D621_1B,52,3.02
D621_1B,53,2.90
D621_1B,54,2.98
D621_1B,55,2.99
D621_1B,56,2.97
D621_1B,57,3.04
D621_1B,58,2.93
