Coral ID,Sample #,Ala,Gly,Thr,Ser,Val,Leu,Ile,Nle,Pro+Hpro,Asp,Glu,Phe,Lys,Ala_std,Gly_std,Thr_std,Ser_std,Val_std,Leu_std,Ile_std,Nle_std,Pro+Hpro_std,Asp_std,Glu_std,Phe_std,Lys_std
D621_1B,1.00,21.89,13.47,-11.79,13.65,26.14,22.77,24.20,8.79,22.15,18.64,21.45,9.93,11.19,0.09,0.06,0.20,0.47,0.77,0.06,0.09,0.07,0.16,0.12,0.12,0.62,0.33
D621_1B,4.00,21.64,13.17,-8.90,13.99,24.85,22.61,23.50,14.92,21.40,17.87,21.10,10.31,11.71,0.17,0.08,1.12,0.22,0.05,0.11,0.51,0.24,0.42,0.17,0.06,0.14,0.21
D621_1B,9.00,21.23,12.81,-9.03,13.37,24.78,21.79,22.89,8.47,21.61,17.73,20.12,8.49,10.83,0.23,0.12,0.29,0.61,0.94,0.55,0.24,0.17,0.23,0.31,0.09,0.30,0.08
D621_1B,15.00,21.44,13.01,-7.80,12.73,25.96,21.65,22.78,8.65,21.32,18.09,20.59,9.62,11.50,0.66,0.18,0.72,1.14,0.23,0.61,0.69,0.10,0.39,0.43,0.22,0.61,0.08
D621_1B,20.00,22.19,13.09,-7.32,13.80,25.15,22.72,23.87,14.66,21.75,18.22,21.45,10.65,10.87,0.07,0.13,0.33,0.20,0.47,0.50,0.39,0.15,0.25,0.20,0.75,0.45,0.36
D621_1B,22.00,22.51,13.46,-9.45,14.17,29.29,22.74,23.76,8.21,22.35,18.78,21.69,8.97,11.40,0.26,0.11,0.72,0.12,0.28,1.01,0.13,0.39,0.54,0.20,0.37,0.26,0.46
D621_1B,26.00,20.95,12.86,-6.07,13.44,24.28,21.77,22.64,14.24,21.19,17.61,20.37,11.07,11.65,0.27,0.26,0.33,0.70,0.27,0.15,0.06,0.65,0.32,0.43,0.19,0.34,0.39
D621_1B,30.00,22.00,13.58,-8.22,13.68,25.65,22.76,23.51,15.05,22.01,18.74,21.72,11.08,13.35,0.17,0.05,0.45,0.46,0.17,0.57,0.27,0.28,0.18,0.15,0.03,0.57,0.08
D621_1B,34.00,23.94,14.86,-8.25,14.43,27.37,23.66,25.06,15.00,22.62,18.98,21.79,9.90,12.36,0.15,0.03,0.33,0.48,0.80,0.29,0.60,0.30,0.12,0.18,0.09,0.53,0.28
D621_1B,38.00,21.46,12.96,-8.52,13.49,25.84,22.91,23.51,14.52,22.20,18.66,21.91,10.68,11.43,0.03,0.13,1.18,0.46,0.29,0.57,0.19,0.41,0.08,0.29,0.16,0.24,0.16
D621_1B,41.00,22.16,12.67,-11.14,13.75,26.42,22.92,23.89,14.06,22.31,18.60,21.61,9.16,11.51,0.09,0.08,1.03,0.24,0.69,0.52,0.11,0.37,0.11,0.03,0.14,0.39,0.28
D621_1B,45.00,22.55,13.20,-11.05,13.22,25.49,22.37,24.27,8.50,22.34,19.25,21.49,9.65,11.73,0.19,0.08,0.10,0.62,0.33,0.45,0.37,0.15,0.21,0.14,0.02,0.18,0.12
D621_1B,56.00,23.44,13.88,-9.04,14.53,26.47,23.22,25.00,8.84,23.11,19.84,21.78,9.26,12.06,0.33,0.17,0.29,0.15,0.76,0.17,0.54,0.12,0.16,0.16,0.19,0.58,0.25
