Sample ID,Bulk,Ala,Gly,Thr,Ser,Val,Leu,Ile,Pro,Asp,Glu,Phe,Lys
S2_2-1,-21.04049155,-14.39605263,-11.572578,-15.68441558,-7.824867725,-27.16466667,-25.71385281,-18.28744589,-17.01066667,-16.23181818,-17.47982456,-25.24140625,-25.18442029
S2_2-10,-21.89583848,-16.48377193,-9.322167488,-7.713131313,-2.12627866,-25.86333333,-25.20813853,-17.43818182,-17.236,-15.25050505,-17.21278195,-24.71793155,-19.32028986
S2_4-3,,-14.0127193,-9.131198686,-12.498557,-6.003880071,-23.12133333,-23.73506494,-17.13229437,-14.58466667,-13.79646465,-13.7245614,-23.52057292,-17.60652174
S2_4-12,-21.72162232,-17.75745614,-8.598029557,-11.34242424,0.119400353,-26.19533333,-25.52571429,-17.82727273,-16.324,-13.54141414,-15.96804511,-24.55907738,-18.87391304
S2_5-5,,-13.2004386,-12.65303777,-10.92886003,-1.034744268,-22.44266667,-22.92233766,-14.99168831,-15.72466667,-11.56818182,-13.71754386,-23.09661458,-16.31594203
S2_7-13,-22.13122069,-16.53984962,-10.95796388,-13.58542569,-7.325044092,-26.14771429,-26.49515152,-19.75021645,-23.64914286,-15.57806638,-17.09035088,-26.77864583,-17.60362319
S2_7-12,-21.77818989,-16.46353383,-10.08784893,-11.91774892,-5.247266314,-25.13638095,-26.29151515,-19.32658009,-22.28647619,-14.85079365,-15.80526316,-26.55989583,-18.41884058
S2_7-11,-22.0345642,-13.56265664,-9.664860427,-12.49350649,-4.754673721,-26.34438095,-24.9430303,-19.95445887,-19.15914286,-14.54675325,-16.85701754,-26.05364583,-17.93333333
S2_7-10,-22.44814988,-17.49166667,-11.98078818,-10.61717172,-0.697883598,-25.36266667,-25.1238961,-18.38181818,-17.754,-14.83838384,-18.36629073,-25.37209821,-20.23768116
S2_9-1,-21.36086532,-13.25745614,-10.65270936,-15.1981241,-8.158024691,-29.01566667,-25.2778355,-17.72415584,-20.19419048,-13.94675325,-18.1160401,-25.51793155,-18.12536232
S2_9-6,-20.13308044,-15.25921053,-12.427422,-12.75569986,-6.145679012,-28.555,-24.11238095,-16.7417316,-19.94419048,-12.32453102,-18.4660401,-25.03980655,-17.09202899
S2_9-13,-21.6117882,-16.84517544,-11.52857143,-11.00620491,-3.938271605,-29.853,-25.96268398,-17.68961039,-20.31352381,-12.87200577,-18.65814536,-25.53928571,-18.3057971
S2_10-6,-23.98138216,-18.27127193,-10.52428161,-9.742929293,-10.39475309,-27.99741667,-30.39037879,-21.86954545,-18.94125,-18.35555556,-18.08903509,-28.76998698,-19.46956522
S2_10-7,-23.3589413,-17.1247807,-9.094745484,-11.03520924,3.949382716,-33.20561905,-28.08060606,-22.02995671,-20.81980952,-19.93304473,-16.94699248,-26.81815476,-19.35
S2_10-8,-23.14737371,-16.78442982,-12.12577997,-12.3988456,-1.919753086,-30.44895238,-27.15090909,-20.83359307,-19.22514286,-18.01183261,-18.43120301,-26.4327381,-18.50869565
S2_10-9,-22.79051535,-16.03618421,-10.50394089,-11.07157287,-3.241975309,-26.31761905,-26.12424242,-19.50692641,-16.65714286,-16.84415584,-17.04085213,-26.4405506,-19.2884058
S2_10-10,-22.41882245,-11.42343358,-11.38949097,-8.395670996,-0.861199295,-27.76028571,-24.80909091,-18.32484848,-18.25342857,-15.55829726,-16.59373434,-25.40892857,-19.68768116
S2_10-11,-22.63088309,-21.18483709,-13.37914614,-11.93708514,-5.673544974,-27.56228571,-27.56969697,-21.36060606,-20.8047619,-18.83607504,-19.7981203,-27.31465774,-21.93768116
S2_10-12,-22.16004347,-14.18045113,-14.23431856,-10.6007215,-4.225396825,-25.64561905,-25.75090909,-20.95030303,-19.69342857,-17.91688312,-18.610401,-25.39278274,-20.91521739
S2_10-13,-21.98733867,-17.56951754,-9.242672414,-10.10858586,-5.688580247,-27.23541667,-27.38371212,-18.71560606,-17.67391667,-18.44949495,-17.80921053,-26.75852865,-19.91304348
S2_12-1,-21.44683967,-15.60548246,-9.521982759,-13.53080808,-6.207098765,-24.10475,-25.44310606,-16.57863636,-15.51991667,-14.38383838,-14.9627193,-25.52415365,-18.20217391
S2_12-7,-22.12494825,-11.46425439,-5.785201149,-11.18737374,-1.013271605,-24.42475,-24.26977273,-17.05924242,-14.65991667,-10.96666667,-12.83640351,-24.36686198,-23.09818841
S2_13-4,-19.23179978,-13.40714286,-10.13973727,-9.365223665,-3.681657848,-22.6432381,-25.90995671,-15.22787879,-18.48790476,-14.61919192,-15.7924812,-23.79821429,-16.14710145
S2_13-9,-20.73595661,-17.939599,-12.29605911,-13.52077922,-8.406349206,-23.35190476,-27.86510823,-17.81333333,-22.02990476,-16.28686869,-15.81265664,-25.53883929,-18.40942029
S2_14-3,-20.75419881,-15.60100251,-6.555829228,-12.298557,-3.201410935,-20.52057143,-25.55601732,-16.88545455,-17.82390476,-13.68989899,-13.0802005,-24.27842262,-17.59565217
