Sample ID,Bulk,Ala,Gly,Thr,Ser,Val,Leu,Ile,Pro+Hpro,Asp,Glu,Phe,Lys
S2_2-1,7.85,14.34214286,7.402047619,3.983666667,4.858952381,15.61652381,10.317,11.8192381,13.91552381,12.32147619,14.28938095,8.799904762,9.670166667
S2_2-10,6.79,14.42795,8.33165,-0.01765,5.6126,11.9494,10.3865,10.17355,14.1294,11.66055,15.42615,6.921733333,8.518333333
S2_4-3,7.2,,,,,,,,,,,,
S2_4-12,7.52,16.8852,7.994066667,-0.176733333,6.424266667,14.98673333,14.274,13.3108,15.2364,12.45613333,18.01773333,8.581733333,9.219333333
S2_5-5,6.9,,,,,,,,,,,,
S2_7-13,7,14.20739286,7.045714286,2.61475,5.241035714,15.28660714,10.57725,11.33407143,13.01585714,11.45239286,14.60621429,8.451821429,9.443416667
S2_7-12,7.2,15.19014286,6.176714286,1.31,3.689785714,16.36760714,10.9815,12.54582143,14.10160714,11.86964286,15.56671429,8.239321429,8.907416667
S2_7-11,6.89,15.31439286,6.668714286,2.15825,5.097285714,16.68685714,11.216,12.05157143,12.76785714,11.70114286,14.23146429,8.824071429,8.654916667
S2_7-10,6.94,14.21253333,8.082733333,0.376266667,5.9056,12.2764,11.06733333,9.462466667,12.9994,10.59346667,14.69806667,7.629733333,8.923
S2_9-1,7.09,17.75103571,7.831464286,-0.887464286,6.98775,12.22532143,13.77710714,12.57032143,14.07546429,12.50571429,17.85171429,7.763071429,9.650285714
S2_9-6,7.06,12.46303571,8.252714286,1.532535714,5.40225,10.23632143,9.156857143,6.642321429,12.23771429,9.728214286,13.88221429,6.905821429,8.946285714
S2_9-13,6.96,14.31395238,8.735380952,1.242952381,6.586666667,11.8852381,12.35319048,8.820571429,13.04571429,11.17338095,15.59671429,8.016238095,9.953952381
S2_10-6,8.11,14.78892857,8.104928571,3.7245,7.207238095,12.63492857,11.04171429,10.61196429,13.8245,12.75692857,15.66464286,9.774380952,8.811928571
S2_10-7,9.95,20.47915,9.4018,-3.9739,7.1609,20.99535,17.20455,17.80175,19.9567,17.15095,21.6694,11.25785,10.8382
S2_10-8,8.72,16.35865,8.31905,3.06585,6.5594,18.6066,13.6213,13.826,15.4477,14.22595,16.90865,10.9326,10.7417
S2_10-9,9.36,19.4564,10.2138,-1.7579,8.5019,19.7776,16.0713,16.5775,20.23995,16.3062,20.5609,10.2866,10.9042
S2_10-10,8.78,17.4799,9.3563,0.69535,7.1269,19.0781,15.38305,15.0515,17.6507,14.8937,18.0669,10.6701,10.31495
S2_10-11,8.41,16.6719,8.59255,0.99435,6.37315,18.8476,14.8743,15.155,16.3802,14.15395,17.7429,9.7916,10.7192
S2_10-12,8.11,14.4999,7.9788,2.51785,5.80615,17.5126,12.6823,13.481,14.7977,13.3122,15.74465,10.44335,9.8702
S2_10-13,9.78,18.61167857,10.53892857,1.35425,7.689821429,16.28117857,15.20071429,14.08096429,19.24133333,15.20067857,19.00439286,9.953714286,9.791178571
S2_12-1,8.17,14.64509524,9.296095238,3.186333333,6.811904762,13.36309524,12.00471429,10.24504762,13.79466667,12.51342857,16.24214286,8.495380952,10.73909524
S2_12-7,7.87,13.62090476,8.845285714,2.834571429,6.869809524,12.00204762,10.75085714,12.77419048,14.45971429,12.94514286,16.17519048,7.959190476,7.091952381
S2_13-4,8.16,12.23232143,8.381535714,3.953821429,6.357642857,10.87171429,9.517607143,8.224857143,12.32671429,11.07389286,14.60135714,8.828107143,8.557035714
S2_13-9,7.21,12.77757143,8.425285714,2.192321429,6.551642857,10.96346429,10.34510714,8.000857143,12.46496429,11.13164286,14.64185714,7.723357143,9.329535714
S2_14-3,8.46,18.84932143,11.29103571,1.043821429,9.696642857,14.26696429,15.70135714,12.78485714,18.07296429,14.87939286,19.53410714,9.120607143,11.33878571
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
